gênero,artista,música,letra
Sertanejo Raiz,Tiao Carreiro E Pardinho,O Prato do Dia,"Sobre às margens de uma estrada Uma simples pensão existia A comida era tipo caseira E o frango caipira era o prato do dia Proprietário, homem de respeito Ali trabalhava com sua família Cozinheira era sua esposa E a garçonete era uma das filhas Foi chegando naquela pensão Um viajante já fora de hora Foi dizendo para a garçonete Me traga um frango, vou jantar agora Eu estou bastante atrasado Terminando eu já vou embora Ela então respondeu, num sorriso Mamãe tá de pé, pode crer, não demora Quando ela foi servir a mesa Delicada e com muito bom jeito Me desculpe, mas trouxe uma franga Talvez não esteja cozida direito O viajante foi lhe respondendo Pra mim franga crua talvez eu aceito Sendo uma igual a você Seja à qualquer hora também não enjeito Foi saindo de cabeça baixa Pra queixar ao seu pai a mocinha Minha filha, mate outra franga Pode temperar, porém não cozinha Vou levar esta franga na mesa Se bem que comigo a conversa é curtinha É a coisa que mais eu detesto Ver homem barbado fazendo gracinha Foi chegando o velho e dizendo Vim trazer o pedido que fez Quando o cara tentou recusar Já se viu na mira de um Schmidt inglês O negócio foi limpar o prato Quando o proprietário lhe disse cortês Nós estamos de portas abertas Pra servir a moda que pede o freguês"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Rei do Gado,Num bar de Ribeirão Preto Eu vi com meus olhos esta passagem Quando champanha corria a rodo No alto meio da grã-finagem Nisto chegou um peão Trazendo na testa o pó da viagem Pro garçom ele pediu uma pinga Que era pra rebater a friagem Levantou um almofadinha e falou pro dono Eu tenho má-fé Quando um caboclo que não se enxerga Num lugar deste vem pôr os pés Senhor que é o proprietário Deve barrar a entrada de qualquer E principalmente nessa ocasião Que está presente o Rei do Café Foi uma salva de palma Gritaram viva pro fazendeiro Quem tem bilhões de pés de cafés Por este rico chão brasileiro Sua safra é uma potência Em nosso mercado e no estrangeiro Portanto vejam que este ambiente Não é pra qualquer tipo rampeiro Com um modo bem cortês Responde o peão pra rapaziada Essa riqueza não me assusta Topo em aposta qualquer parada Cada pé desse café Eu amarro um boi da minha invernada E pra encerrar o assunto eu garanto Que ainda me sobra uma boiada Foi um silêncio profundo O peão deixou o povo mais pasmado Pagando a pinga com mil cruzeiro Disse ao garçom pra guardar o trocado Quem quiser meu endereço Que não se faça de arrogado É só chegar lá em Andradina E perguntar pelo Rei do Gado
Sertanejo Raiz,Tiao Carreiro E Pardinho,Boi Soberano,"Me alembro e tenho saudade do tempo que vai ficando Do tempo de boiadeiro que eu vivia viajando Eu nunca tinha tristeza, vivia sempre cantando Mês e mês cortando estrada no meu cavalo ruano Sempre lidando com gado, desde a idade de 15 anos Não me esqueço de um transporte, seiscentos bois cuiabanos No meio tinha um boi preto por nome de Soberano Na hora da despedida o fazendeiro foi falando Cuidado com este boi que nas guampas é leviano Este boi é criminoso, já me fez diversos danos Tocamos pelas estradas naquilo sempre pensando Na cidade de Barretos, na hora que eu fui chegando A boiada estourou, uai, só via gente gritando Foi mesmo uma tirania, na frente ia o Soberano No comércio da cidade as portas foram fechando Na rua tinha um menino, decerto estava brincando Quando ele viu que morria de susto foi desmaiando Coitadinho debruçou na frente do Soberano O Soberano parou, ai, em cima ficou bufando Rebatendo com o chifre os bois que vinham passando Naquilo o pai da criança de longe vinha gritando Se este boi matar meu filho, eu mato quem vai tocando E quando viu seu filho vivo e o boi por ele velando Caiu de joelho por terra e para Deus foi implorando Salvai meu anjo da guarda desse momento tirano Quando passou a boiada, o boi foi se retirando Veio o pai dessa criança, me comprou o Soberano Este boi salvou meu filho, ninguém mata o Soberano"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Pagode Em Brasília,Quem tem mulher que namora quem tem burro empacador Quem tem a roça no mato me chame que jeito eu dou Eu tiro a roça do mato sua lavoura melhora E o burro empacador eu corto ele de espora E a mulher namoradeira eu passo o couro e mando embora Tem prisioneiro inocente no fundo de uma prisão Tem muita sogra encrenqueira e tem violeiro embrulhão Pro prisioneiro inocente eu arranjo advogado E a sogra encrenqueira eu dou de laço dobrado E os violeiro embrulhão com meus versos estão quebrados Bahia deu Rui Barbosa Rio Grande deu Getúlio Em Minas deu Juscelino de São Paulo eu me orgulho Baiano não nasce burro e gaúcho é o rei das coxilhas Paulista ninguém contesta é um brasileiro que brilha Quero ver cabra de peito pra fazer outra Brasília No estado de Goiás meu pagode está mandando O bazar do Valdomiro em Brasília é o soberano No repique da viola balanceia o chão goiano Vou fazer a retirada e despedir dos paulistano Adeus que eu já vou me embora que Goiás tá me chamando
Sertanejo Raiz,Tiao Carreiro E Pardinho,Amargurado,"O que é feito daqueles beijos que eu te dei? Daquele amor cheio de ilusão Que foi a razão do nosso querer Pra onde foram tantas promessas que me fizeste Não se importando que o nosso amor viesse a morrer Talvez com outro estejas vivendo bem mais feliz Dizendo ainda que nunca houve amor entre nós Pois tu sonhavas com uma riqueza que eu nunca tive E se ao meu lado muito sofreste O meu desejo é que vivas melhor Vai com Deus sejas feliz com o teu amado Tens aqui um peito magoado Que muito sofre por te amar Eu só desejo que a boa sorte siga teus passos Mas se tiveres algum fracasso Creias que ainda te possa ajudar Vai com Deus, sejas feliz com o teu amado Tens aqui um peito magoado Que muito sofre por te amar Eu só desejo que a boa sorte siga teus passos Mas se tiveres algum fracasso Creias que ainda te possa ajudar"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Pagode,Morena bonita dos dente aberto Vai no pagode o baruio é certo Não me namore tão discoberto Que eu sou casado mas não sou certo Modelo de agora é muito esquisito Essas mocinhas mostrando os cambito Co' as canelas lisa que nem parmito As moças de hoje eu não facilito Eu com a minha muié fizemo combinação Eu vou no pagode ela não vai não Sábado passado fui ela ficou Sábado que vem ela fica e eu vou Canto modas dos amigos pro meu gasto eu também faço Na viola eu tenho o desembaraço É coisa que eu acho feio violeiro querer abater Mais não fazem moda mandam eu fazer No batido do pagode ninguém faz o que eu faço Nois tá por cima eles tão por baixo Tem uns violeiro em São Paulo vive fazendo rudino Eles tão por baixo nois tá por cima
Sertanejo Raiz,Tiao Carreiro E Pardinho,Chora viola,"Eu não caio do cavalo Nem do burro e nem do gaio Ganho dinheiro cantando A viola é meu trabalho No lugar onde tem seca Eu de sede lá não caio Levanto de madrugada E bebo o pingo de orvalho, chora viola Não como gato por lebre Não compro cipó por laço Eu não durmo de botina Não dou beijo sem abraço Fiz um ponto lá na mata Caprichei e dei um nó Meus amigos eu ajudo Inimigo eu tenho dó, chora viola A Lua é dona da noite O Sol é dono do dia Admiro as mulheres Que gostam de cantoria Mato a onça, bebo o sangue Furo a terra e tiro ouro Quem sabe aguentar saudade Não aguenta desaforo, chora viola Eu ando de pé no chão Piso por cima da brasa Quem não gosta de viola Que não ponha o pé lá em casa A viola está tinindo O cantador tá de pé Quem não gosta de viola Brasileiro bom não é, chora viola"
Sertanejo Raiz,Tiao Carreiro E Pardinho,Caçador,"Mandei fazer uma canoa fundo preto e barra clara Dois remos de guarantã e um varejão de guaiçara Ai, ai o apoito pesa uma arroba, jogo na água o bote para Tenho uma trela de cachorro o marengo e a caiçara A sua especialidade corre anta e capivara Ai, ai solto os cachorros no rastro vai rebentando taquara Eu tenho uma cartucheira de qualidade bem rara É uma dois cano trunchado o que até pranchão ela vara Ai, ai anta deita na fumaça na hora que ela dispara A anta se apincha n'água na correnteza não para Vai com a cabeça de fora e a dois canos já dispara Ai, ai a bicha prancheia n'água é só fisgar ela na vara Do couro eu tranço um laço cabeçada e rédeas cara A carne eu vendo no açougue mas pro gasto nois separa Ai, ai também faço meus pagodes nas noites de Lua clara"
Sertanejo Raiz,Tiao Carreiro E Pardinho,A Vaca Já Foi Pro Brejo,Mundo velho está perdido Já não endireita mais Os filhos de hoje em dia Já não obedecem os pais É o começo do fim Já estou vendo sinais Metade da mocidade Estão virando marginais É um bando de serpente Os mocinhos vão na frente As mocinhas vão atrás Pobre pai e pobre mãe Morrendo de trabalhar Deixa o couro no serviço Pra fazer filho estudar Compra carro à prestação Para o filho passear Os filhos vivem rodando Fazendo pneu cantar Ouvi um filho dizer O meu pai tem que gemer Não mandei ninguém casar O filho parece rei Filha parece rainha Eles que mandam na casa E ninguém tira farinha Manda a mãe calar a boca Coitada fica quietinha O pai é um zero à esquerda É um trem fora da linha Cantando agora eu falo Terreiro que não tem galo Quem canta é frango e franguinha Pra ver a filha formada Um grande amigo meu O pão que o diabo amassou O pobre homem comeu Quando a filha se formou Foi só desgosto que deu Ela disse assim pro pai Quem vai embora sou eu Pobre pai banhado em pranto O seu desgosto foi tanto Que o pobre velho morreu Meu mestre é Deus nas alturas O mundo é meu colégio Eu sei criticar cantando Deus me deu o privilégio Mato a cobra e mostro o pau Eu mato e não apedrejo Dragão de sete cabeças Também mato e não aleijo Estamos no fim do respeito Mundo velho não tem jeito A vaca já foi pro brejo
Sertanejo Raiz,Tiao Carreiro E Pardinho,O Mineiro e o Italiano,"O mineiro e o italiano vivia às barras dos tribunais Numa demanda de terra que não deixava os dois em paz Só em pensar na derrota, o pobre caboclo não dormia mais O italiano roncava: nem que eu gaste alguns capitais Quero ver este mineiro voltar de a pé pra Minas Gerais Voltar de a pé pro mineiro seria feio pros seus parente Apelou para o adevogado: fale pro juiz pra ter dó da gente Diga que nóis semos pobre, que meus filhinhos vivem doentes Um parmo de terra a mais para o italiano é indiferente Se o juiz me ajudar a ganhar, lhe dou uma leitoa de presente Retrucou o advogado: o senhor não sabe o que está falando Não caia nessa besteira, senão nós vamo entrar pro cano Este juiz é uma fera, caboclo sério e de tutano Paulista da velha guarda, família de 400 anos Manda leitoa para ele é dar a vitória pro italiano Porém chegou o grande dia que o tribunal deu o veredito Mineiro ganhou a demanda, o adevogado achou esquisito Mineiro disse ao doutor: eu fiz conforme lhe havia dito Respondeu o adevogado: que o juiz vendeu e eu não acredito Jogo meu diploma fora se nesse angu não tive mosquito De fato, falou o mineiro, nem mesmo eu tô acreditando Ver meus filhinhos de a pé, meu coração vivia sangrando Peguei uma leitoa gorda, foi Deus no céu me deu esse plano De uma cidade vizinha para o juiz eu fui despachando Só não mandei no meu nome, mandei no nome do italiano"
